manufacturer	device_type	firmware_version	mask	description
KAM	6	0	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	6	0	2048	Flow sensor V1, Wrong meter factor
KAM	6	0	4096	Flow sensor V1, Signal too low (Air)
KAM	6	0	8192	Flow sensor V2, Signal too low (Air)
KAM	6	0	16384	Flow sensor V1, Wrong flow direction
KAM	6	0	32768	Flow sensor V2, Wrong flow direction
KAM	6	1	1	Supply voltage has been cut off
KAM	6	1	2	Flow sensor error
KAM	6	1	4	Temperature sensor T2 outside measuring range
KAM	6	1	8	Temperature sensor T1 outside measuring range
KAM	6	1	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	6	1	32	Temperature sensor T3 outside measuring range
KAM	6	1	64	Leak in the cold-water system
KAM	6	1	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	6	1	256	Leak in the heating system
KAM	6	1	512	Burst in the heating system
KAM	6	1	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	6	1	2048	Flow sensor V1, Wrong meter factor
KAM	6	1	4096	Flow sensor V1, Signal too low (Air)
KAM	6	1	8192	Flow sensor V2, Signal too low (Air)
KAM	6	1	16384	Flow sensor V1, Wrong flow direction
KAM	6	1	32768	Flow sensor V2, Wrong flow direction
KAM	6	5	1	Supply voltage has been cut off
KAM	6	5	2	Flow sensor error
KAM	6	5	4	Temperature sensor T2 outside measuring range
KAM	6	5	8	Temperature sensor T1 outside measuring range
KAM	6	5	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	6	5	32	Temperature sensor T3 outside measuring range
KAM	6	5	64	Leak in the cold-water system
KAM	6	5	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	6	5	256	Leak in the heating system
KAM	6	5	512	Burst in the heating system
KAM	6	5	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	6	5	2048	Flow sensor V1, Wrong meter factor
KAM	6	5	4096	Flow sensor V1, Signal too low (Air)
KAM	6	5	8192	Flow sensor V2, Signal too low (Air)
KAM	6	5	16384	Flow sensor V1, Wrong flow direction
KAM	6	5	32768	Flow sensor V2, Wrong flow direction
KAM	6	6	1	Supply voltage has been cut off
KAM	6	6	2	Flow sensor error
KAM	6	6	4	Temperature sensor T2 outside measuring range
KAM	6	6	8	Temperature sensor T1 outside measuring range
KAM	6	6	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	6	6	32	Temperature sensor T3 outside measuring range
KAM	6	6	64	Leak in the cold-water system
KAM	6	6	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	6	6	256	Leak in the heating system
KAM	6	6	512	Burst in the heating system
KAM	6	6	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	6	6	2048	Flow sensor V1, Wrong meter factor
KAM	6	6	4096	Flow sensor V1, Signal too low (Air)
KAM	6	6	8192	Flow sensor V2, Signal too low (Air)
KAM	6	6	16384	Flow sensor V1, Wrong flow direction
KAM	6	6	32768	Flow sensor V2, Wrong flow direction
KAM	6	7	1	Supply voltage has been cut off
KAM	6	7	2	Flow sensor error
KAM	6	7	4	Temperature sensor T2 outside measuring range
KAM	6	7	8	Temperature sensor T1 outside measuring range
KAM	6	7	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	6	7	32	Temperature sensor T3 outside measuring range
KAM	6	7	64	Leak in the cold-water system
KAM	6	7	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	6	7	256	Leak in the heating system
KAM	6	7	512	Burst in the heating system
KAM	6	7	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	6	7	2048	Flow sensor V1, Wrong meter factor
KAM	6	7	4096	Flow sensor V1, Signal too low (Air)
KAM	6	7	8192	Flow sensor V2, Signal too low (Air)
KAM	6	7	16384	Flow sensor V1, Wrong flow direction
KAM	6	7	32768	Flow sensor V2, Wrong flow direction
KAM	6	8	1	Supply voltage has been cut off
KAM	6	8	2	Flow sensor error
KAM	6	8	4	Temperature sensor T2 outside measuring range
KAM	6	8	8	Temperature sensor T1 outside measuring range
KAM	6	8	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	6	8	32	Temperature sensor T3 outside measuring range
KAM	6	8	64	Leak in the cold-water system
KAM	6	8	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	6	8	256	Leak in the heating system
KAM	6	8	512	Burst in the heating system
KAM	6	8	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	6	8	2048	Flow sensor V1, Wrong meter factor
KAM	6	8	4096	Flow sensor V1, Signal too low (Air)
KAM	6	8	8192	Flow sensor V2, Signal too low (Air)
KAM	6	8	16384	Flow sensor V1, Wrong flow direction
KAM	6	8	32768	Flow sensor V2, Wrong flow direction
KAM	6	11	1	Supply voltage has been cut off
KAM	6	11	2	Flow sensor error
KAM	6	11	4	Temperature sensor T2 outside measuring range
KAM	6	11	8	Temperature sensor T1 outside measuring range
KAM	6	11	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	6	11	32	Temperature sensor T3 outside measuring range
KAM	6	11	64	Leak in the cold-water system
KAM	6	11	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	6	11	256	Leak in the heating system
KAM	6	11	512	Burst in the heating system
KAM	6	11	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	6	11	2048	Flow sensor V1, Wrong meter factor
KAM	6	11	4096	Flow sensor V1, Signal too low (Air)
KAM	6	11	8192	Flow sensor V2, Signal too low (Air)
KAM	6	11	16384	Flow sensor V1, Wrong flow direction
KAM	6	11	32768	Flow sensor V2, Wrong flow direction
KAM	6	15	1	Supply voltage has been cut off
KAM	6	15	2	Flow sensor error
KAM	6	15	4	Temperature sensor T2 outside measuring range
KAM	6	15	8	Temperature sensor T1 outside measuring range
KAM	6	15	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	6	15	32	Temperature sensor T3 outside measuring range
KAM	6	15	64	Leak in the cold-water system
KAM	6	15	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	6	15	256	Leak in the heating system
KAM	6	15	512	Burst in the heating system
KAM	6	15	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	6	15	2048	Flow sensor V1, Wrong meter factor
KAM	6	15	4096	Flow sensor V1, Signal too low (Air)
KAM	6	15	8192	Flow sensor V2, Signal too low (Air)
KAM	6	15	16384	Flow sensor V1, Wrong flow direction
KAM	6	15	32768	Flow sensor V2, Wrong flow direction
KAM	6	17	1	Supply voltage has been cut off
KAM	6	17	2	Flow sensor error
KAM	6	17	4	Temperature sensor T2 outside measuring range
KAM	6	17	8	Temperature sensor T1 outside measuring range
KAM	6	17	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	6	17	32	Temperature sensor T3 outside measuring range
KAM	6	17	64	Leak in the cold-water system
KAM	6	17	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	6	17	256	Leak in the heating system
KAM	6	17	512	Burst in the heating system
KAM	6	17	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	6	17	2048	Flow sensor V1, Wrong meter factor
KAM	6	17	4096	Flow sensor V1, Signal too low (Air)
KAM	6	17	8192	Flow sensor V2, Signal too low (Air)
KAM	6	17	16384	Flow sensor V1, Wrong flow direction
KAM	6	17	32768	Flow sensor V2, Wrong flow direction
KAM	10	0	1	Supply voltage has been cut off
KAM	10	0	2	Flow sensor error
KAM	10	0	4	Temperature sensor T2 outside measuring range
KAM	10	0	8	Temperature sensor T1 outside measuring range
KAM	10	0	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	10	0	32	Temperature sensor T3 outside measuring range
KAM	10	0	64	Leak in the cold-water system
KAM	10	0	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	10	0	256	Leak in the heating system
KAM	10	0	512	Burst in the heating system
KAM	10	0	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	10	0	2048	Flow sensor V1, Wrong meter factor
KAM	10	0	4096	Flow sensor V1, Signal too low (Air)
KAM	10	0	8192	Flow sensor V2, Signal too low (Air)
KAM	10	0	16384	Flow sensor V1, Wrong flow direction
KAM	10	0	32768	Flow sensor V2, Wrong flow direction
KAM	10	1	1	Supply voltage has been cut off
KAM	10	1	2	Flow sensor error
KAM	10	1	4	Temperature sensor T2 outside measuring range
KAM	10	1	8	Temperature sensor T1 outside measuring range
KAM	10	1	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	10	1	32	Temperature sensor T3 outside measuring range
KAM	10	1	64	Leak in the cold-water system
KAM	10	1	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	10	1	256	Leak in the heating system
KAM	10	1	512	Burst in the heating system
KAM	10	1	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	10	1	2048	Flow sensor V1, Wrong meter factor
KAM	10	1	4096	Flow sensor V1, Signal too low (Air)
KAM	10	1	8192	Flow sensor V2, Signal too low (Air)
KAM	10	1	16384	Flow sensor V1, Wrong flow direction
KAM	10	1	32768	Flow sensor V2, Wrong flow direction
KAM	10	5	1	Supply voltage has been cut off
KAM	10	5	2	Flow sensor error
KAM	10	5	4	Temperature sensor T2 outside measuring range
KAM	10	5	8	Temperature sensor T1 outside measuring range
KAM	10	5	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	10	5	32	Temperature sensor T3 outside measuring range
KAM	10	5	64	Leak in the cold-water system
KAM	10	5	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	10	5	256	Leak in the heating system
KAM	10	5	512	Burst in the heating system
KAM	10	5	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	10	5	2048	Flow sensor V1, Wrong meter factor
KAM	10	5	4096	Flow sensor V1, Signal too low (Air)
KAM	10	5	8192	Flow sensor V2, Signal too low (Air)
KAM	10	5	16384	Flow sensor V1, Wrong flow direction
KAM	10	5	32768	Flow sensor V2, Wrong flow direction
KAM	10	6	1	Supply voltage has been cut off
KAM	10	6	2	Flow sensor error
KAM	10	6	4	Temperature sensor T2 outside measuring range
KAM	10	6	8	Temperature sensor T1 outside measuring range
KAM	10	6	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	10	6	32	Temperature sensor T3 outside measuring range
KAM	10	6	64	Leak in the cold-water system
KAM	10	6	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	10	6	256	Leak in the heating system
KAM	10	6	512	Burst in the heating system
KAM	10	6	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	10	6	2048	Flow sensor V1, Wrong meter factor
KAM	10	6	4096	Flow sensor V1, Signal too low (Air)
KAM	10	6	8192	Flow sensor V2, Signal too low (Air)
KAM	10	6	16384	Flow sensor V1, Wrong flow direction
KAM	10	6	32768	Flow sensor V2, Wrong flow direction
KAM	10	7	1	Supply voltage has been cut off
KAM	10	7	2	Flow sensor error
KAM	10	7	4	Temperature sensor T2 outside measuring range
KAM	10	7	8	Temperature sensor T1 outside measuring range
KAM	10	7	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	10	7	32	Temperature sensor T3 outside measuring range
KAM	10	7	64	Leak in the cold-water system
KAM	10	7	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	10	7	256	Leak in the heating system
KAM	10	7	512	Burst in the heating system
KAM	10	7	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	10	7	2048	Flow sensor V1, Wrong meter factor
KAM	10	7	4096	Flow sensor V1, Signal too low (Air)
KAM	10	7	8192	Flow sensor V2, Signal too low (Air)
KAM	10	7	16384	Flow sensor V1, Wrong flow direction
KAM	10	7	32768	Flow sensor V2, Wrong flow direction
KAM	10	8	1	Supply voltage has been cut off
KAM	10	8	2	Flow sensor error
KAM	10	8	4	Temperature sensor T2 outside measuring range
KAM	10	8	8	Temperature sensor T1 outside measuring range
KAM	10	8	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	10	8	32	Temperature sensor T3 outside measuring range
KAM	10	8	64	Leak in the cold-water system
KAM	10	8	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	10	8	256	Leak in the heating system
KAM	10	8	512	Burst in the heating system
KAM	10	8	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	10	8	2048	Flow sensor V1, Wrong meter factor
KAM	10	8	4096	Flow sensor V1, Signal too low (Air)
KAM	10	8	8192	Flow sensor V2, Signal too low (Air)
KAM	10	8	16384	Flow sensor V1, Wrong flow direction
KAM	10	8	32768	Flow sensor V2, Wrong flow direction
KAM	10	11	1	Supply voltage has been cut off
KAM	10	11	2	Flow sensor error
KAM	10	11	4	Temperature sensor T2 outside measuring range
KAM	10	11	8	Temperature sensor T1 outside measuring range
KAM	10	11	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	10	11	32	Temperature sensor T3 outside measuring range
KAM	10	11	64	Leak in the cold-water system
KAM	10	11	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	10	11	256	Leak in the heating system
KAM	10	11	512	Burst in the heating system
KAM	10	11	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	10	11	2048	Flow sensor V1, Wrong meter factor
KAM	10	11	4096	Flow sensor V1, Signal too low (Air)
KAM	10	11	8192	Flow sensor V2, Signal too low (Air)
KAM	10	11	16384	Flow sensor V1, Wrong flow direction
KAM	10	11	32768	Flow sensor V2, Wrong flow direction
KAM	10	15	1	Supply voltage has been cut off
KAM	10	15	2	Flow sensor error
KAM	10	15	4	Temperature sensor T2 outside measuring range
KAM	10	15	8	Temperature sensor T1 outside measuring range
KAM	10	15	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	10	15	32	Temperature sensor T3 outside measuring range
KAM	10	15	64	Leak in the cold-water system
KAM	10	15	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	10	15	256	Leak in the heating system
KAM	10	15	512	Burst in the heating system
KAM	10	15	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	10	15	2048	Flow sensor V1, Wrong meter factor
KAM	10	15	4096	Flow sensor V1, Signal too low (Air)
KAM	10	15	8192	Flow sensor V2, Signal too low (Air)
KAM	10	15	16384	Flow sensor V1, Wrong flow direction
KAM	10	15	32768	Flow sensor V2, Wrong flow direction
KAM	10	17	1	Supply voltage has been cut off
KAM	10	17	2	Flow sensor error
KAM	10	17	4	Temperature sensor T2 outside measuring range
KAM	10	17	8	Temperature sensor T1 outside measuring range
KAM	10	17	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	10	17	32	Temperature sensor T3 outside measuring range
KAM	10	17	64	Leak in the cold-water system
KAM	10	17	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	10	17	256	Leak in the heating system
KAM	10	17	512	Burst in the heating system
KAM	10	17	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	10	17	2048	Flow sensor V1, Wrong meter factor
KAM	10	17	4096	Flow sensor V1, Signal too low (Air)
KAM	10	17	8192	Flow sensor V2, Signal too low (Air)
KAM	10	17	16384	Flow sensor V1, Wrong flow direction
KAM	10	17	32768	Flow sensor V2, Wrong flow direction
KAM	11	0	1	Supply voltage has been cut off
KAM	11	0	2	Flow sensor error
KAM	11	0	4	Temperature sensor T2 outside measuring range
KAM	11	0	8	Temperature sensor T1 outside measuring range
KAM	11	0	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	11	0	32	Temperature sensor T3 outside measuring range
KAM	11	0	64	Leak in the cold-water system
KAM	11	0	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	11	0	256	Leak in the heating system
KAM	11	0	512	Burst in the heating system
KAM	11	0	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	11	0	2048	Flow sensor V1, Wrong meter factor
KAM	11	0	4096	Flow sensor V1, Signal too low (Air)
KAM	11	0	8192	Flow sensor V2, Signal too low (Air)
KAM	11	0	16384	Flow sensor V1, Wrong flow direction
KAM	11	0	32768	Flow sensor V2, Wrong flow direction
KAM	11	1	1	Supply voltage has been cut off
KAM	11	1	2	Flow sensor error
KAM	11	1	4	Temperature sensor T2 outside measuring range
KAM	11	1	8	Temperature sensor T1 outside measuring range
KAM	11	1	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	11	1	32	Temperature sensor T3 outside measuring range
KAM	11	1	64	Leak in the cold-water system
KAM	11	1	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	11	1	256	Leak in the heating system
KAM	11	1	512	Burst in the heating system
KAM	11	1	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	11	1	2048	Flow sensor V1, Wrong meter factor
